"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_treatment_none"
"04/22/2025 15:30:50:199 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"31","30","none","30","5","0.29999999999999716","99.7","31","30","none","30","5","0.29999999999999716","99.7","31","30","none","30","5","0.29999999999999716","99.7","31","30","none","30","5","0.20000000000000284","99.8","31","30","none","30","5","0.29999999999999716","99.7","31","30","none","30","5","0.09999999999999432","99.9","31","30","none","30","5","0.09999999999999432","99.9","31","30","none","30","5","0.09999999999999432","99.9","31","30","none","30","5","0.09999999999999432","99.9","31","30","none","30","5","0.29999999999999716","99.7"
,"32","30","none","30","5","0.29999999999999716","99.7","32","30","none","30","5","0.29999999999999716","99.7","32","30","none","30","5","0.29999999999999716","99.7","32","30","none","30","5","0.20000000000000284","99.8","32","30","none","30","5","0.29999999999999716","99.7","32","30","none","30","5","0.09999999999999432","99.9","32","30","none","30","5","0.09999999999999432","99.9","32","30","none","30","5","0","100","32","30","none","30","5","0.09999999999999432","99.9","32","30","none","30","5","0.20000000000000284","99.8"
,"33","30","none","30","5","0.20000000000000284","99.8","33","30","none","30","5","0.20000000000000284","99.8","33","30","none","30","5","0.29999999999999716","99.7","33","30","none","30","5","0.20000000000000284","99.8","33","30","none","30","5","0.20000000000000284","99.8","33","30","none","30","5","0.09999999999999432","99.9","33","30","none","30","5","0.09999999999999432","99.9","33","30","none","30","5","0","100","33","30","none","30","5","0","100","33","30","none","30","5","0.09999999999999432","99.9"
,"34","30","none","30","5","0.09999999999999432","99.9","34","30","none","30","5","0.20000000000000284","99.8","34","30","none","30","5","0.09999999999999432","99.9","34","30","none","30","5","0.20000000000000284","99.8","34","30","none","30","5","0.20000000000000284","99.8","34","30","none","30","5","0.09999999999999432","99.9","34","30","none","30","5","0.09999999999999432","99.9","34","30","none","30","5","0","100","34","30","none","30","5","0","100","34","30","none","30","5","0.09999999999999432","99.9"
,"35","30","none","30","5","0","100","35","30","none","30","5","0.09999999999999432","99.9","35","30","none","30","5","0.09999999999999432","99.9","35","30","none","30","5","0.09999999999999432","99.9","35","30","none","30","5","0.20000000000000284","99.8","35","30","none","30","5","0.09999999999999432","99.9","35","30","none","30","5","0","100","35","30","none","30","5","0","100","35","30","none","30","5","0","100","35","30","none","30","5","0.09999999999999432","99.9"
,"36","30","none","30","5","0","100","36","30","none","30","5","0.09999999999999432","99.9","36","30","none","30","5","0","100","36","30","none","30","5","0.09999999999999432","99.9","36","30","none","30","5","0.20000000000000284","99.8","36","30","none","30","5","0","100","36","30","none","30","5","0","100","36","30","none","30","5","0","100","36","30","none","30","5","0","100","36","30","none","30","5","0.09999999999999432","99.9"
,"37","30","none","30","5","0","100","37","30","none","30","5","0.09999999999999432","99.9","37","30","none","30","5","0","100","37","30","none","30","5","0.09999999999999432","99.9","37","30","none","30","5","0.20000000000000284","99.8","37","30","none","30","5","0","100","37","30","none","30","5","0","100","37","30","none","30","5","0","100","37","30","none","30","5","0","100","37","30","none","30","5","0.09999999999999432","99.9"
,"38","30","none","30","5","0","100","38","30","none","30","5","0","100","38","30","none","30","5","0","100","38","30","none","30","5","0.09999999999999432","99.9","38","30","none","30","5","0.09999999999999432","99.9","38","30","none","30","5","0","100","38","30","none","30","5","0","100","38","30","none","30","5","0","100","38","30","none","30","5","0","100","38","30","none","30","5","0.09999999999999432","99.9"
,"39","30","none","30","5","0","100","39","30","none","30","5","0","100","39","30","none","30","5","0","100","39","30","none","30","5","0.09999999999999432","99.9","39","30","none","30","5","0.09999999999999432","99.9","39","30","none","30","5","0","100","39","30","none","30","5","0","100","39","30","none","30","5","0","100","39","30","none","30","5","0","100","39","30","none","30","5","0.09999999999999432","99.9"
,"40","30","none","30","5","0","100","40","30","none","30","5","0","100","40","30","none","30","5","0","100","40","30","none","30","5","0.09999999999999432","99.9","40","30","none","30","5","0.09999999999999432","99.9","40","30","none","30","5","0","100","40","30","none","30","5","0","100","40","30","none","30","5","0","100","40","30","none","30","5","0","100","40","30","none","30","5","0.09999999999999432","99.9"
,"41","30","none","30","5","0","100","41","30","none","30","5","0","100","41","30","none","30","5","0","100","41","30","none","30","5","0","100","41","30","none","30","5","0.09999999999999432","99.9","41","30","none","30","5","0","100","41","30","none","30","5","0","100","41","30","none","30","5","0","100","41","30","none","30","5","0","100","41","30","none","30","5","0","100"
,"42","30","none","30","5","0","100","42","30","none","30","5","0","100","42","30","none","30","5","0","100","42","30","none","30","5","0","100","42","30","none","30","5","0.09999999999999432","99.9","42","30","none","30","5","0","100","42","30","none","30","5","0","100","42","30","none","30","5","0","100","42","30","none","30","5","0","100","42","30","none","30","5","0","100"
,"43","30","none","30","5","0","100","43","30","none","30","5","0","100","43","30","none","30","5","0","100","43","30","none","30","5","0","100","43","30","none","30","5","0.09999999999999432","99.9","43","30","none","30","5","0","100","43","30","none","30","5","0","100","43","30","none","30","5","0","100","43","30","none","30","5","0","100","43","30","none","30","5","0","100"
,"44","30","none","30","5","0","100","44","30","none","30","5","0","100","44","30","none","30","5","0","100","44","30","none","30","5","0","100","44","30","none","30","5","0.09999999999999432","99.9","44","30","none","30","5","0","100","44","30","none","30","5","0","100","44","30","none","30","5","0","100","44","30","none","30","5","0","100","44","30","none","30","5","0","100"
,"45","30","none","30","5","0","100","45","30","none","30","5","0","100","45","30","none","30","5","0","100","45","30","none","30","5","0","100","45","30","none","30","5","0.09999999999999432","99.9","45","30","none","30","5","0","100","45","30","none","30","5","0","100","45","30","none","30","5","0","100","45","30","none","30","5","0","100","45","30","none","30","5","0","100"
,"46","30","none","30","5","0","100","46","30","none","30","5","0","100","46","30","none","30","5","0","100","46","30","none","30","5","0","100","46","30","none","30","5","0","100","46","30","none","30","5","0","100","46","30","none","30","5","0","100","46","30","none","30","5","0","100","46","30","none","30","5","0","100","46","30","none","30","5","0","100"
,"47","30","none","30","5","0","100","47","30","none","30","5","0","100","47","30","none","30","5","0","100","47","30","none","30","5","0","100","47","30","none","30","5","0","100","47","30","none","30","5","0","100","47","30","none","30","5","0","100","47","30","none","30","5","0","100","47","30","none","30","5","0","100","47","30","none","30","5","0","100"
,"48","30","none","30","5","0","100","48","30","none","30","5","0","100","48","30","none","30","5","0","100","48","30","none","30","5","0","100","48","30","none","30","5","0","100","48","30","none","30","5","0","100","48","30","none","30","5","0","100","48","30","none","30","5","0","100","48","30","none","30","5","0","100","48","30","none","30","5","0","100"
,"49","30","none","30","5","0","100","49","30","none","30","5","0","100","49","30","none","30","5","0","100","49","30","none","30","5","0","100","49","30","none","30","5","0","100","49","30","none","30","5","0","100","49","30","none","30","5","0","100","49","30","none","30","5","0","100","49","30","none","30","5","0","100","49","30","none","30","5","0","100"
,"50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100","50","30","none","30","5","0","100"
