"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate10_platformaccuracy70_speed75"
"04/22/2025 16:23:50:480 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"29","10","platform","70","75","19","81","29","10","platform","70","75","20.099999999999994","79.9","29","10","platform","70","75","20.5","79.5","29","10","platform","70","75","22.799999999999997","77.2","29","10","platform","70","75","20.799999999999997","79.2","29","10","platform","70","75","21.5","78.5","29","10","platform","70","75","21.200000000000003","78.8","29","10","platform","70","75","20.599999999999994","79.4","29","10","platform","70","75","22.39999999999999","77.60000000000001","29","10","platform","70","75","20.89999999999999","79.10000000000001"
,"30","10","platform","70","75","19.19999999999999","80.80000000000001","30","10","platform","70","75","20.39999999999999","79.60000000000001","30","10","platform","70","75","19.799999999999997","80.2","30","10","platform","70","75","23","77","30","10","platform","70","75","20.5","79.5","30","10","platform","70","75","21.39999999999999","78.60000000000001","30","10","platform","70","75","19.19999999999999","80.80000000000001","30","10","platform","70","75","19.599999999999994","80.4","30","10","platform","70","75","21.89999999999999","78.10000000000001","30","10","platform","70","75","21.39999999999999","78.60000000000001"
,"31","10","platform","70","75","19.299999999999997","80.7","31","10","platform","70","75","20.299999999999997","79.7","31","10","platform","70","75","19.799999999999997","80.2","31","10","platform","70","75","22.599999999999994","77.4","31","10","platform","70","75","20.19999999999999","79.80000000000001","31","10","platform","70","75","21.299999999999997","78.7","31","10","platform","70","75","20.5","79.5","31","10","platform","70","75","19.299999999999997","80.7","31","10","platform","70","75","22.700000000000003","77.3","31","10","platform","70","75","21.599999999999994","78.4"
,"32","10","platform","70","75","18.30000000000001","81.69999999999999","32","10","platform","70","75","21.5","78.5","32","10","platform","70","75","19.39999999999999","80.60000000000001","32","10","platform","70","75","21.799999999999997","78.2","32","10","platform","70","75","19.299999999999997","80.7","32","10","platform","70","75","20.700000000000003","79.3","32","10","platform","70","75","20.599999999999994","79.4","32","10","platform","70","75","19","81","32","10","platform","70","75","22.39999999999999","77.60000000000001","32","10","platform","70","75","21.39999999999999","78.60000000000001"
,"33","10","platform","70","75","18.799999999999997","81.2","33","10","platform","70","75","20.799999999999997","79.2","33","10","platform","70","75","19.69999999999999","80.30000000000001","33","10","platform","70","75","21.5","78.5","33","10","platform","70","75","21","79","33","10","platform","70","75","20.39999999999999","79.60000000000001","33","10","platform","70","75","21.200000000000003","78.8","33","10","platform","70","75","19.099999999999994","80.9","33","10","platform","70","75","21.89999999999999","78.10000000000001","33","10","platform","70","75","22","78"
,"34","10","platform","70","75","18.799999999999997","81.2","34","10","platform","70","75","19.5","80.5","34","10","platform","70","75","20.5","79.5","34","10","platform","70","75","21.700000000000003","78.3","34","10","platform","70","75","20.599999999999994","79.4","34","10","platform","70","75","20.89999999999999","79.10000000000001","34","10","platform","70","75","21","79","34","10","platform","70","75","19.89999999999999","80.10000000000001","34","10","platform","70","75","22.700000000000003","77.3","34","10","platform","70","75","20.599999999999994","79.4"
,"35","10","platform","70","75","18.89999999999999","81.10000000000001","35","10","platform","70","75","19.599999999999994","80.4","35","10","platform","70","75","20.299999999999997","79.7","35","10","platform","70","75","22","78","35","10","platform","70","75","20.89999999999999","79.10000000000001","35","10","platform","70","75","20.299999999999997","79.7","35","10","platform","70","75","20.799999999999997","79.2","35","10","platform","70","75","20.19999999999999","79.80000000000001","35","10","platform","70","75","22","78","35","10","platform","70","75","20.39999999999999","79.60000000000001"
,"36","10","platform","70","75","18.89999999999999","81.10000000000001","36","10","platform","70","75","19.19999999999999","80.80000000000001","36","10","platform","70","75","19.69999999999999","80.30000000000001","36","10","platform","70","75","21.799999999999997","78.2","36","10","platform","70","75","21.599999999999994","78.4","36","10","platform","70","75","20.39999999999999","79.60000000000001","36","10","platform","70","75","20.299999999999997","79.7","36","10","platform","70","75","19","81","36","10","platform","70","75","22.599999999999994","77.4","36","10","platform","70","75","21","79"
,"37","10","platform","70","75","19.19999999999999","80.80000000000001","37","10","platform","70","75","19.39999999999999","80.60000000000001","37","10","platform","70","75","20.19999999999999","79.80000000000001","37","10","platform","70","75","22.5","77.5","37","10","platform","70","75","20.89999999999999","79.10000000000001","37","10","platform","70","75","20.099999999999994","79.9","37","10","platform","70","75","20.799999999999997","79.2","37","10","platform","70","75","19.099999999999994","80.9","37","10","platform","70","75","21.599999999999994","78.4","37","10","platform","70","75","20.799999999999997","79.2"
,"38","10","platform","70","75","20.5","79.5","38","10","platform","70","75","20.19999999999999","79.80000000000001","38","10","platform","70","75","20.39999999999999","79.60000000000001","38","10","platform","70","75","21.799999999999997","78.2","38","10","platform","70","75","20.299999999999997","79.7","38","10","platform","70","75","19.099999999999994","80.9","38","10","platform","70","75","21.299999999999997","78.7","38","10","platform","70","75","19.099999999999994","80.9","38","10","platform","70","75","21.89999999999999","78.10000000000001","38","10","platform","70","75","19.799999999999997","80.2"
,"39","10","platform","70","75","21.099999999999994","78.9","39","10","platform","70","75","20.5","79.5","39","10","platform","70","75","19.19999999999999","80.80000000000001","39","10","platform","70","75","21.200000000000003","78.8","39","10","platform","70","75","19.89999999999999","80.10000000000001","39","10","platform","70","75","17.900000000000006","82.1","39","10","platform","70","75","19.69999999999999","80.30000000000001","39","10","platform","70","75","20.299999999999997","79.7","39","10","platform","70","75","20.700000000000003","79.3","39","10","platform","70","75","20.099999999999994","79.9"
,"40","10","platform","70","75","20.599999999999994","79.4","40","10","platform","70","75","19.89999999999999","80.10000000000001","40","10","platform","70","75","18.89999999999999","81.10000000000001","40","10","platform","70","75","20.599999999999994","79.4","40","10","platform","70","75","20.89999999999999","79.10000000000001","40","10","platform","70","75","18.5","81.5","40","10","platform","70","75","19.89999999999999","80.10000000000001","40","10","platform","70","75","20.39999999999999","79.60000000000001","40","10","platform","70","75","19.799999999999997","80.2","40","10","platform","70","75","20","80"
,"41","10","platform","70","75","19.69999999999999","80.30000000000001","41","10","platform","70","75","20.19999999999999","79.80000000000001","41","10","platform","70","75","19.69999999999999","80.30000000000001","41","10","platform","70","75","20.39999999999999","79.60000000000001","41","10","platform","70","75","21.89999999999999","78.10000000000001","41","10","platform","70","75","18.700000000000003","81.3","41","10","platform","70","75","19.89999999999999","80.10000000000001","41","10","platform","70","75","19.39999999999999","80.60000000000001","41","10","platform","70","75","19.799999999999997","80.2","41","10","platform","70","75","18.200000000000003","81.8"
,"42","10","platform","70","75","19.099999999999994","80.9","42","10","platform","70","75","20.5","79.5","42","10","platform","70","75","19.299999999999997","80.7","42","10","platform","70","75","20.599999999999994","79.4","42","10","platform","70","75","20.799999999999997","79.2","42","10","platform","70","75","18.60000000000001","81.39999999999999","42","10","platform","70","75","22","78","42","10","platform","70","75","19.099999999999994","80.9","42","10","platform","70","75","21.099999999999994","78.9","42","10","platform","70","75","18.400000000000006","81.6"
,"43","10","platform","70","75","20.89999999999999","79.10000000000001","43","10","platform","70","75","20.299999999999997","79.7","43","10","platform","70","75","20.099999999999994","79.9","43","10","platform","70","75","20","80","43","10","platform","70","75","20.700000000000003","79.3","43","10","platform","70","75","18.799999999999997","81.2","43","10","platform","70","75","20.299999999999997","79.7","43","10","platform","70","75","19.099999999999994","80.9","43","10","platform","70","75","20.700000000000003","79.3","43","10","platform","70","75","18.799999999999997","81.2"
,"44","10","platform","70","75","20.700000000000003","79.3","44","10","platform","70","75","19.799999999999997","80.2","44","10","platform","70","75","19.299999999999997","80.7","44","10","platform","70","75","19.599999999999994","80.4","44","10","platform","70","75","20.700000000000003","79.3","44","10","platform","70","75","19.099999999999994","80.9","44","10","platform","70","75","20.299999999999997","79.7","44","10","platform","70","75","19.69999999999999","80.30000000000001","44","10","platform","70","75","21.700000000000003","78.3","44","10","platform","70","75","18.400000000000006","81.6"
,"45","10","platform","70","75","20.19999999999999","79.80000000000001","45","10","platform","70","75","19.5","80.5","45","10","platform","70","75","18.89999999999999","81.10000000000001","45","10","platform","70","75","20.099999999999994","79.9","45","10","platform","70","75","20.099999999999994","79.9","45","10","platform","70","75","19.19999999999999","80.80000000000001","45","10","platform","70","75","21.299999999999997","78.7","45","10","platform","70","75","19.89999999999999","80.10000000000001","45","10","platform","70","75","22.099999999999994","77.9","45","10","platform","70","75","18","82"
