"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"null"
"experiment_pollutionrate30_platformaccuracy80_speed50"
"04/22/2025 17:11:11:532 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"30","30","platform","80","50","15.200000000000003","84.8","30","30","platform","80","50","16.10000000000001","83.89999999999999","30","30","platform","80","50","17","83","30","30","platform","80","50","16.799999999999997","83.2","30","30","platform","80","50","15.100000000000009","84.89999999999999","30","30","platform","80","50","14.099999999999994","85.9","30","30","platform","80","50","16.299999999999997","83.7","30","30","platform","80","50","14.600000000000009","85.39999999999999","30","30","platform","80","50","16","84","30","30","platform","80","50","16.5","83.5"
,"31","30","platform","80","50","15.200000000000003","84.8","31","30","platform","80","50","15.700000000000003","84.3","31","30","platform","80","50","15.600000000000009","84.39999999999999","31","30","platform","80","50","16.700000000000003","83.3","31","30","platform","80","50","15.5","84.5","31","30","platform","80","50","14.5","85.5","31","30","platform","80","50","16.5","83.5","31","30","platform","80","50","15.100000000000009","84.89999999999999","31","30","platform","80","50","16.700000000000003","83.3","31","30","platform","80","50","16.799999999999997","83.2"
,"32","30","platform","80","50","14.200000000000003","85.8","32","30","platform","80","50","15.700000000000003","84.3","32","30","platform","80","50","15.5","84.5","32","30","platform","80","50","16.5","83.5","32","30","platform","80","50","14.200000000000003","85.8","32","30","platform","80","50","15.799999999999997","84.2","32","30","platform","80","50","16.700000000000003","83.3","32","30","platform","80","50","14.799999999999997","85.2","32","30","platform","80","50","16","84","32","30","platform","80","50","16","84"
,"33","30","platform","80","50","14.099999999999994","85.9","33","30","platform","80","50","15.5","84.5","33","30","platform","80","50","15.900000000000006","84.1","33","30","platform","80","50","16.299999999999997","83.7","33","30","platform","80","50","14.299999999999997","85.7","33","30","platform","80","50","15.299999999999997","84.7","33","30","platform","80","50","15.700000000000003","84.3","33","30","platform","80","50","15.700000000000003","84.3","33","30","platform","80","50","16.10000000000001","83.89999999999999","33","30","platform","80","50","16.299999999999997","83.7"
,"34","30","platform","80","50","15.200000000000003","84.8","34","30","platform","80","50","15.5","84.5","34","30","platform","80","50","15.299999999999997","84.7","34","30","platform","80","50","15.799999999999997","84.2","34","30","platform","80","50","15.600000000000009","84.39999999999999","34","30","platform","80","50","16.200000000000003","83.8","34","30","platform","80","50","15.299999999999997","84.7","34","30","platform","80","50","15.200000000000003","84.8","34","30","platform","80","50","14.900000000000006","85.1","34","30","platform","80","50","15.700000000000003","84.3"
,"35","30","platform","80","50","14.299999999999997","85.7","35","30","platform","80","50","15.299999999999997","84.7","35","30","platform","80","50","14.700000000000003","85.3","35","30","platform","80","50","15.299999999999997","84.7","35","30","platform","80","50","15.700000000000003","84.3","35","30","platform","80","50","17.200000000000003","82.8","35","30","platform","80","50","15.700000000000003","84.3","35","30","platform","80","50","15.400000000000006","84.6","35","30","platform","80","50","15.900000000000006","84.1","35","30","platform","80","50","17.10000000000001","82.89999999999999"
,"36","30","platform","80","50","15.100000000000009","84.89999999999999","36","30","platform","80","50","15.100000000000009","84.89999999999999","36","30","platform","80","50","14.700000000000003","85.3","36","30","platform","80","50","17","83","36","30","platform","80","50","14.799999999999997","85.2","36","30","platform","80","50","17.700000000000003","82.3","36","30","platform","80","50","15.700000000000003","84.3","36","30","platform","80","50","15.100000000000009","84.89999999999999","36","30","platform","80","50","15.400000000000006","84.6","36","30","platform","80","50","16.700000000000003","83.3"
,"37","30","platform","80","50","15.700000000000003","84.3","37","30","platform","80","50","15.100000000000009","84.89999999999999","37","30","platform","80","50","14.5","85.5","37","30","platform","80","50","16.900000000000006","83.1","37","30","platform","80","50","14.299999999999997","85.7","37","30","platform","80","50","16.799999999999997","83.2","37","30","platform","80","50","15.299999999999997","84.7","37","30","platform","80","50","16.10000000000001","83.89999999999999","37","30","platform","80","50","16.10000000000001","83.89999999999999","37","30","platform","80","50","16.200000000000003","83.8"
,"38","30","platform","80","50","15.100000000000009","84.89999999999999","38","30","platform","80","50","15.700000000000003","84.3","38","30","platform","80","50","14.099999999999994","85.9","38","30","platform","80","50","17","83","38","30","platform","80","50","14.5","85.5","38","30","platform","80","50","16.700000000000003","83.3","38","30","platform","80","50","15.5","84.5","38","30","platform","80","50","16.799999999999997","83.2","38","30","platform","80","50","15.700000000000003","84.3","38","30","platform","80","50","17","83"
,"39","30","platform","80","50","16.799999999999997","83.2","39","30","platform","80","50","14.700000000000003","85.3","39","30","platform","80","50","14.900000000000006","85.1","39","30","platform","80","50","17.200000000000003","82.8","39","30","platform","80","50","15.100000000000009","84.89999999999999","39","30","platform","80","50","16.700000000000003","83.3","39","30","platform","80","50","15.400000000000006","84.6","39","30","platform","80","50","17.30000000000001","82.69999999999999","39","30","platform","80","50","15.600000000000009","84.39999999999999","39","30","platform","80","50","16.700000000000003","83.3"
