"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp2_legal_main"
"08/07/2026 20:14:36:700 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","93.4","26.3","67.10000000000001","43.13099041533546","56.86900958466453","6.6000000000000005","263","270","356"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","25","96.8","37.3","59.5","32.4468085106383","67.5531914893617","3.2","373","305","635"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","95","29.799999999999997","65.2","38.72832369942196","61.27167630057804","5","298","268","424"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","26","96.8","38.1","58.699999999999996","32.2279792746114","67.7720207253886","3.2","381","311","654"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","93.2","27.400000000000002","65.8","44.81751824817518","55.18248175182482","6.800000000000001","274","307","378"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","95.3","31.1","64.19999999999999","37.77173913043478","62.22826086956522","4.7","311","278","458"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","27","96.8","39.300000000000004","57.49999999999999","31.695085255767303","68.3049147442327","3.2","393","316","681"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","94.3","28.499999999999996","65.8","37.70739064856712","62.29260935143288","5.7","285","250","413"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","19","95.2","32.2","63","37.27272727272727","62.727272727272734","4.8","322","287","483"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","93.3","27.700000000000003","65.6","42.081447963800905","57.9185520361991","6.7","277","279","384"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","94.3","29.5","64.8","37","63","5.7","295","259","441"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","20","95.2","32.7","62.5","37","63","4.8","327","296","504"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","93.1","28.199999999999996","64.9","44.55307262569833","55.44692737430168","6.9","282","319","397"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","28","97","39.900000000000006","57.099999999999994","31.34765625","68.65234375","3","399","321","703"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","16","93.5","26.700000000000003","66.8","40.544629349470505","59.4553706505295","6.5","267","268","393"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","92.8","29.799999999999997","63","44.21052631578947","55.78947368421052","7.199999999999999","298","336","424"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","93.3","28.799999999999997","64.5","41.714285714285715","58.285714285714285","6.7","288","292","408"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","19","92.8","30.5","62.3","43.53826850690088","56.46173149309912","7.199999999999999","305","347","450"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","29","96.9","40.5","56.400000000000006","31.25590179414542","68.74409820585457","3.1","405","331","728"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","21","95.5","34","61.5","36.24401913875598","63.75598086124402","4.5","340","303","533"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","17","93.3","28.1","65.19999999999999","39.45480631276901","60.54519368723099","6.7","281","275","422"
"4","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","93.3","28.9","64.4","39.863013698630134","60.136986301369866","6.7","289","291","439"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","19","93.4","30.099999999999998","63.30000000000001","41.46341463414634","58.536585365853654","6.6000000000000005","301","306","432"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","18","94.3","30.2","64.1","36.72627235213205","63.27372764786795","5.7","302","267","460"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","22","95.6","35.199999999999996","60.4","35.7630979498861","64.2369020501139","4.3999999999999995","352","314","564"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","20","92.6","31.4","61.199999999999996","43.13022700119474","56.86977299880526","7.3999999999999995","314","361","476"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","20","93.3","30.8","62.5","40.932642487046635","59.067357512953365","6.7","308","316","456"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","19","94.5","31","63.5","37.0026525198939","62.9973474801061","5.5","310","279","475"
"1","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","30","97","41.3","55.7","30.684931506849317","69.31506849315069","3","413","336","759"
"5","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","21","92.7","32.5","60.2","42.84077892325315","57.159221076746846","7.3","325","374","499"
"3","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","21","93.3","32","61.3","40.6905055487053","59.3094944512947","6.7","320","330","481"
"6","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","20","94.7","32.2","62.5","36.86176836861768","63.13823163138231","5.3","322","296","507"
"2","legal","targeted","BA","10","50","1","95","80","75","1000","2","0.1","0.1","0.5","1","1","50","23","95.4","36.1","59.300000000000004","35.48740416210296","64.51259583789705","4.6","361","324","589"
