"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"exp1_baseline"
"08/07/2026 20:13:58:949 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","treatment","targeting-mode","network-type","p0","num-nodes","ba-m","ws-rewire-prob","beta0","amplification","super-ratio","legal-strength","legal-response-time","legal-accuracy","platform-accuracy","platform-speed","lambda-weight","max-ticks","[step]","effectiveness","over-removal-rate","net-effectiveness","removal-precision","error-rate","current-pollution-rate","count-wrongly-removed","deleted-count","false-deleted"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","15","7.599999999999994","0","7.599999999999994","0","0","92.4","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","16","7.099999999999994","0","7.099999999999994","0","0","92.9","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","14","9.399999999999991","0","9.399999999999991","0","0","90.60000000000001","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","17","5","0","5","0","0","95","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","16","6.200000000000003","0","6.200000000000003","0","0","93.8","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","15","5.800000000000011","0","5.800000000000011","0","0","94.19999999999999","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","16","3.799999999999997","0","3.799999999999997","0","0","96.2","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","17","5.200000000000003","0","5.200000000000003","0","0","94.8","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","18","3.700000000000003","0","3.700000000000003","0","0","96.3","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","15","7.299999999999997","0","7.299999999999997","0","0","92.7","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","16","4.1000000000000085","0","4.1000000000000085","0","0","95.89999999999999","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","17","3","0","3","0","0","97","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","17","5.200000000000003","0","5.200000000000003","0","0","94.8","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","19","3.200000000000003","0","3.200000000000003","0","0","96.8","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","16","6.5","0","6.5","0","0","93.5","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","18","4","0","4","0","0","96","0","0","0"
"5","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","17","3.4000000000000057","0","3.4000000000000057","0","0","96.6","0","0","0"
"3","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","18","2.5","0","2.5","0","0","97.5","0","0","0"
"6","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","18","4.1000000000000085","0","4.1000000000000085","0","0","95.89999999999999","0","0","0"
"1","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","17","5.400000000000006","0","5.400000000000006","0","0","94.6","0","0","0"
"2","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","20","2.799999999999997","0","2.799999999999997","0","0","97.2","0","0","0"
"4","none","targeted","BA","10","1000","2","0.1","0.1","0.5","1","70","5","95","80","75","1","50","19","3.299999999999997","0","3.299999999999997","0","0","96.7","0","0","0"
